개봉일,등급,상영시간,누적_관객수,장르,국가,감독
2026-07-29,12세이상관람가,144분,"5,910,553명","판타지, 어드벤처, 액션",미국,데스틴 크리튼
2026-08-05,15세이상관람가,172분,"1,872,877명","액션, 모험, 드라마",미국,크리스토퍼 놀란
2026-08-05,전체 관람가,105분,"433,565명",애니메이션,한국,김수훈
2026-07-15,15세이상관람가,156분,"4,393,518명","액션, 스릴러, SF",한국,나홍진
2026-07-15,전체 관람가,89분,"763,404명",애니메이션,미국,피에르 코팽
2026-06-17,전체 관람가,101분,"2,938,990명",애니메이션,미국,앤드류 스탠튼
2026-07-29,12세이상관람가,101분,"49,713명",다큐멘터리,일본,후지노 토모아키
2026-07-08,전체 관람가,115분,"1,020,487명","어드벤처, 액션",미국,토마스 케일
2026-07-10,전체 관람가,109분,"289,372명",애니메이션,미국,필 커닝햄
2026-08-12,15세이상관람가,108분,"11,793명",코미디,한국,이철하
