제목,순위,개봉일,평점,주간_관객수,누적_관객 수,상세페이지
스파이더맨: 브랜드 뉴 데이,1,2026-07-29,7.33,"2,062,445명","5,446,618명",/movie/info/?movie_id=63091
오디세이,2,2026-08-05,7.55,"1,374,672명","1,375,296명",/movie/info/?movie_id=62585
사랑의 하츄핑: 고래보석의 전설,3,2026-08-05,7,"283,502명","310,000명",/movie/info/?movie_id=63075
호프,4,2026-07-15,6.83,"250,833명","4,361,291명",/movie/info/?movie_id=62480
미니언즈 & 몬스터즈,5,2026-07-15,6.5,"44,321명","758,390명",/movie/info/?movie_id=63032
토이 스토리 5,6,2026-06-17,6.83,"25,254명","2,937,083명",/movie/info/?movie_id=62799
어떻게 해야 했을까?,7,2026-07-29,6.5,"21,727명","45,735명",/movie/info/?movie_id=63282
모아나,8,2026-07-08,5.67,"20,305명","1,019,810명",/movie/info/?movie_id=62818
다윗,9,2026-07-10,5,"17,655명","281,029명",/movie/info/?movie_id=63108
오케이 마담2,10,2026-08-12,5,"6,004명","9,411명",/movie/info/?movie_id=63240
