movie_id,장르
62585,"액션, 모험, 드라마"
63091,"판타지, 어드벤처, 액션"
63075,애니메이션
62480,"액션, 스릴러, SF"
63032,애니메이션
63282,다큐멘터리
63108,애니메이션
62799,애니메이션
63240,코미디
62818,"어드벤처, 액션"
63117,애니메이션
63296,다큐멘터리
63001,"스포츠, 드라마"
2417,"프랑스,이탈리아"
62309,"범죄, 드라마"
926,드라마
63186,스릴러
63248,애니메이션
62907,드라마
63225,드라마
63314,애니메이션
2573,"스릴러, 범죄"
62833,드라마
62893,"시대극, 드라마"
13600,일본
62280,"코미디, 멜로·로맨스, 드라마"
895,"멜로·로맨스, 드라마"
63331,다큐멘터리
62839,"한국,덴마크"
62390,애니메이션
63019,SF
60705,2026-08-19
63071,다큐멘터리
59434,애니메이션
3474,"드라마, 코미디"
27060,"스릴러, 드라마"
6344,"스릴러, 공포"
28759,애니메이션
344,드라마
47766,"멜로·로맨스, 드라마"
6653,드라마
63194,2026-07-01
5204,"뮤지컬, 드라마"
63214,공연 실황
54608,"판타지, 애니메이션, 멜로·로맨스"
63114,애니메이션
63113,다큐멘터리
30868,"스릴러, 드라마, SF"
39810,"코미디, 드라마"
63297,"전쟁, 액션, 드라마"
62206,코미디
63227,다큐멘터리
16998,
7169,드라마
63135,"어드벤처, 애니메이션"
19051,드라마
2571,드라마
10062,드라마
42252,멜로·로맨스
62951,"액션, 스릴러"
63262,호러
5567,"스릴러, 드라마"
27283,일본
